contacts_seen,cumulative_confirmed_cases,cumulative_confirmed_deaths,cumulative_contacts_isolated,cumulative_contacts_traced,cumulative_suspected_cases,cumulative_suspected_deaths,hosp_escaped,hospitalised,in_bed_previous_day,national_cumulative_confirmed_cases,national_cumulative_confirmed_deaths,national_cumulative_recovered_cases,national_cumulative_suspected_cases,national_cumulative_suspected_deaths,national_suspected_cases_in_isolation,national_suspected_cases_under_investigation,new_confirmed_cases,new_contacts_isolated,new_contacts_listed,new_hosp_admissions,new_hosp_detainees,new_hosp_other,new_suspected_cases,new_suspected_deaths,total_poe_hand_washing,total_poe_passed,total_poe_refused_hand_washing,total_poe_refused_screening,total_poe_sanitised,total_poe_screened,rt_proxy,label_next_7d
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,0
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,718.0,1.0,1
3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1010.0,1143.0,133.0,133.0,1143.0,1010.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,128.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,1.0,0.0,4.0,128.0,2.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,1.0,0.0,128.0,0.0,0.0,0.0,2.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,1.0,0.0,4.0,128.0,2.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,1.0,0.0,4.0,128.0,4.0,0.0,0.0,2.0,2.0,8.0,4.0,1.0,246.0,131.0,,,0.0,0.0,128.0,0.0,0.0,0.0,2.0,0.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,0
3.0,0.0,0.0,4.0,127.0,0.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,127.0,8.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,8.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,127.0,8.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,0.0,0.0,4.0,127.0,8.0,0.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,4.0,127.0,28.0,0.0,12.0,0.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,6.0,0.0,13.0,127.0,61.0,18.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,6.0,9.0,127.0,28.0,0.0,12.0,53.0,18.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
3.0,6.0,0.0,43.0,203.0,90.0,23.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,0.0,30.0,76.0,28.0,0.0,12.0,29.0,5.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
0.0,11.0,0.0,73.0,203.0,125.0,31.0,1.0,40.0,33.0,8.0,4.0,1.0,246.0,131.0,,,5.0,30.0,0.0,28.0,0.0,12.0,35.0,8.0,544.0,544.0,0.0,0.0,544.0,544.0,1.0,1
87.0,15.0,1.0,114.0,290.0,166.0,34.0,9.0,50.0,33.0,8.0,4.0,1.0,246.0,131.0,,,6.0,41.0,87.0,36.0,1.0,31.0,41.0,3.0,1473.0,1473.0,0.0,0.0,1473.0,1473.0,1.0,1
71.0,23.0,2.0,142.0,290.0,227.0,42.0,9.0,44.0,33.0,8.0,4.0,1.0,246.0,131.0,,,8.0,28.0,87.0,11.0,3.0,8.0,61.0,8.0,3256.0,3360.0,104.0,104.0,3360.0,3256.0,1.0,1
0.0,0.0,0.0,8.0,22.0,0.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,22.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,0.0,0.0,8.0,22.0,0.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,22.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,0.0,0.0,8.0,22.0,0.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,22.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,0.0,0.0,8.0,22.0,0.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,22.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,1.0,0.0,8.0,22.0,1.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,1.0,8.0,22.0,21.0,0.0,9.0,1.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,1.0,0.0,8.0,22.0,1.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,22.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,1.0,0.0,8.0,22.0,7.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,22.0,21.0,0.0,9.0,6.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,2.0,0.0,8.0,22.0,7.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,1.0,8.0,22.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,2.0,0.0,8.0,22.0,7.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,22.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,1
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,8.0,4.0,1.0,246.0,131.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,13.0,4.0,1.0,246.0,131.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,33.0,4.0,1.0,516.0,131.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,51.0,4.0,1.0,575.0,148.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,64.0,6.0,1.0,671.0,160.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,83.0,9.0,1.0,746.0,176.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,91.0,10.0,1.0,867.0,176.0,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,2.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
0.0,0.0,0.0,8.0,28.0,0.0,0.0,2.0,30.0,30.0,,,,,,,,0.0,8.0,28.0,21.0,0.0,9.0,0.0,0.0,184.0,184.0,0.0,0.0,184.0,184.0,1.0,0
